ISBN	title	edition	author
72831561	 World Class Supply Management:  Key to Supply Chain Management	1	Enid Blyton
72834943	 Managerial Accounting	1	Roberto Bolaño
72838787	 Fundamentals of Digital Logic With Verilog Design	1	Katherine Boo
72846119	 Molecular Biology	1	Jorge Luis Borges
72848235	 Unit Operations of Chemical Engineering	1	William Boyd
72859342	 Gilbert's Living with Art	1	Ray Bradbury
72861789	 Investments	1	Barbara Taylor Bradford
72864478	 Design of Machinery: An Introduction to the Synthesis and Analysis of Mechanisms and Machines	1	Stewart Brand
72864877	 Consumer Behavior and Marketing Strategy	1	Raymond Briggs
72865784	" Business Marketing:  Connecting Strategy,relationships, And Learning"	1	Constance Briscoe
72865989	 Product Management	1	Anne Brontë
72871776	 Labor Economics	1	Charlotte Brontë
72872527	 Complex Variables and Applications	1	Emily Brontë
72873795	 Purchasing and Supply Management:  With 50 Supply Chain Cases	1	Anita Brookner
72875062	 Anatomy & Physiology:  The Unity Of Form And Function	1	Dan Brown
72876484	 Public Finance	1	Jeffrey Brown
72881208	 Leadership:  Enhancing The Lessons Of Experience	1	Anthony Browne
72887605	 Perception	1	Bill Bryson
72918993	 Matching Supply With Demand:  An Introduction To Operations Management	1	Mikhail Bulgakov
72919817	 Simulation With Arena	1	Anthony Burgess
72921641	 Biology	1	Melvin Burgess
72921935	 Mechanical Engineering Design	1	Gordon Burn
72922184	 Understanding Business	1	Robert Burns
72922427	 Introduction to Matlab 7 for Engineers	1	William Burroughs
007293414X	 Investments	1	AS Byatt
007293588X	 Management Information Systems	1	Lord Byron
72936932	 Managerial Accounting	1	Carmen Callil
72947756	 Corporate Information Strategy And Management:  Text And Cases	1	Italo Calvino
72947888	 Supply Chain Logistics Management	1	Albert Camus
72951753	 Microbiology With Password for Online Learning Center	1	Truman Capote
72957239	 Principles Of Corporate Finance	1	Peter Carey
72958863	 Database System Concepts	1	Carlos Fuentes
72961449	 New Products Management	1	Lewis Carroll
007296183X	 Churchill/ford/walker's Sales Force Management	1	Angela Carter
72961902	 Marketing Strategy:  A Decision-Focused Approach	1	Raymond Carver
72961945	 Services Marketing:  Integrating Customer Focus Across The Firm	1	Eleanor Catton
007296216X	 Preface To Marketing Management	1	Miguel de Cervantes
72962216	 Crafting And Executing Strategy:  The Quest For Competitive Advantage	1	Michael Chabon
72963050	 Introduction to Mechatronics and Measurement Systems	1	Raymond Chandler
72964200	" Construction Planning, Equipment, and Methods"	1	Rajiv Chandrasekaran
72964464	 Business and Administrative Communication	1	Bruce Chatwin
72964723	 Contemporary Advertising	1	Geoffrey Chaucer
72965975	 Genetics:  Analysis and Principles	1	Anton Chekhov
72966343	 Strategic Marketing.	1	GK Chesterton
72966556	 Music:  An Appreciation	1	Lauren Child
72967722	 Tcp/ip:  Protocol Suite	1	Chris Ware
72971215	 Statistical Techniques in Business and Economics	1	Agatha Christie
72971223	 Operations Management	1	Christopher Isherwood
72971231	 Corporate Finance	1	CJ Sansom
72975865	 Accounting For Decision Making And Control	1	Tom Clancy
72976756	 Fundamentals of Thermal-fluid Sciences	1	John Clare
72976861	 Organizational Behavior:  Emerging Realities for the Workplace Revolution	1	Arthur C Clarke
72977353	 Advanced Financial Accounting	1	John Cooper Clarke
72977450	 Microeconomics And Behavior	1	Daniel Clowes
72977515	 Social Psychology	1	Jonathan Coe
72977558	 Adolescence	1	Paulo Coelho
72978635	 Project Management:  The Managerial Process	1	JM Coetzee
72979526	 Organic Chemistry	1	Samuel Taylor Coleridge
72980907	 Mechanics of Materials	1	Eoin Colfer
72982713	 Economics	1	Wilkie Collins
72983019	 Business Driven Technology	1	Jackie Collins
72983809	 Basic Marketing	1	Colum McCann
72983906	 Operations Management for Competitive Advantage	1	Arthur Conan Doyle
72986212	" Business and Society:  Stakeholders, Ethics, Public Policy"	1	Joseph Connolly
72986220	 Research Methods In Psychology	1	Joseph Conrad
72987170	" Organizations:  Behavior, Structure, Processes"	1	Jilly Cooper
72987227	 Staffing Organizations	1	Patricia Cornwell
72987286	 Human Resource Management	1	Douglas Coupland
72987324	" Managing Human Resources:  Productivity, Quality Of Work Life, Profits"	1	Jim Crace
007298936X	 Gilbert's Living With Art	1	Michael Crichton
72990716	 Introduction to Flight	1	Neil Cross
72991054	 Fundamental Managerial Accounting Concepts	1	Robert Crumb
72992565	 Employee Training and Development	1	Curtis Sittenfeld
72994029	 Intermediate Accounting	1	Czes_aw Mi_osz
72994355	 Fundamentals of Operations Management	1	Roald Dahl
72994428	" Business, Government And Society:  A Managerial Perspective, Text and Cases"	1	David Sedaris
72995688	 The Art of Leadership	1	DBC Pierre
72996862	 International Financial Management	1	Edmund de Waal
73011215	 Accounting:  What the Numbers Mean	1	Daniel Defoe
73012386	 Fundamentals of Corporate Finance	1	Len Deighton
73016039	 System Dynamics	1	Don DeLillo
73018376	 Fundamentals Of Cost Accounting	1	Patrick DeWitt
73018651	 Production and Operations Analysis	1	Giuseppe Tomasi di Lampedusa
007301933X	 Software Engineering:  A Practitioner's Approach	1	Junot Diaz
73040762	 Human Physiology	1	Philip K Dick
73044652	 Fluid Mechanics:  Fundamentals and Applications	1	Dick King-Smith
73046671	 Financial Institutions Management:  A Risk Management Approach	1	Charles Dickens
73048380	 Mp:  Microbiology a Systems Approach W/ Olc Bind-in Card	1	Emily Dickinson
73049204	 Essentials of Marketing	1	Don Paterson
73049212	 Contemporary Management	1	Emma Donoghue
73050199	 Managerial Economics And Business Strategy	1	Fyodor Dostoevsky
73051888	 Elementary Number Theory	1	Roddy Doyle
73051896	 The History of Mathematics:  An Introduction	1	Margaret Drabble
73052337	 Systems Analysis and Design Methods	1	Carol Ann Duffy
73080152	 Marketing	1	"Alexandre Dumas, pere"
73100234	 Financial Statement Analysis	1	Daphne du Maurier
73101567	 Numerical Methods for Engineers	1	Helen Dunmore
73101591	 Chemistry In Context:  Applying Chemistry to Society	1	Lawrence Durrell
73101699	 Chemistry:  The Molecular Nature Of Matter And Change - With Access Card	1	David Eagleman
73101702	 Organic Chemistry	1	Terry Eagleton
73101710	 Introduction to Geographic Information Systems	1	Bret Easton Ellis
73101745	 Mp:  Integrated Principles of Zoology W/olc	1	Umberto Eco
73101761	 Human Biology	1	Esi Edugyan
73102555	 International Business:  Competing in the Global Marketplace	1	Dave Eggers
73104027	 Fundamental Financial Accounting Concepts With Annual Report	1	George Eliot
73104450	 Introduction to Chemical Engineering Thermodynamics	1	James Ellroy
73104639	 Engineering Electromagnetics	1	Anne Enright
73104647	 Principles Of Electronic Materials And Devices	1	Jeffrey Eugenides
73105767	 International Business:  The Challenge Of Global Competition	1	Euripides
73107638	 Foundations Of Materials Science And Engineering	1	Evie Wyld
73107670	 Statistics For Engineers And Scientists	1	William Faulkner
73107689	 Thermodynamics:  An Engineering Approach.	1	Sebastian Faulks
73107956	 Mechanics of Materials	1	Niall Ferguson
007310874X	 Applied Linear Statistical Models	1	Helen Fielding
007310938X	 Hole's Essentials Of Human Anatomy And Physiology	1	Henry Fielding
007310941X	 Human Anatomy	1	Orlando Figes
73109444	 Design of Machinery:  An Introduction to the Synthesis and Analysis of Mechanisms and Machines	1	F Scott Fitzgerald
73109630	 Organizational Behavior And Management	1	Gustave Flaubert
73121657	 Basic Statistics For Business And Economics	1	Ian Fleming
73121665	 Operations Management	1	Gillian Flynn
73122580	" Service Management: Operations, Strategy, and Information Technology"	1	EM Forster
73122866	 Vander's Human Physiology	1	Adam Foulds
73126993	 Project Management: The Managerial Process	1	John Fowles
73128929	 Organizational Behavior	1	Dick Francis
73130826	 Principles Of Corporate Finance	1	Thomas Frank
73131946	 Human Resource Management:  Gaining A Competitive Advantage With Olc Card	1	Jonathan Franzen
73134287	 Fundamentals Of Corporate Finance	1	Nicci French
73134295	" Fundamentals Of Corporate Finance:  With S&p Card, Student Cd"	1	Tana French
73134937	 Fundamentals Of Investment Management + Pass Card	1	Sigmund Freud
73135690	 Contemporary Advertising	1	Nell Freudenberger
73135852	" International Management:  Culture, Strategy And Behavior W/ Olc Card Mp"	1	James Frey
73135941	 Essentials Of Econometrics	1	Francis Fukuyama
73136905	 Selling: Building Partnerships	1	G Willow Wilson
73137537	 Auditing & Assurance Services:  A Systematic Approach	1	Neil Gaiman
73138339	" Organizational Behavior:  Key Concepts, Skills & Best Practices"	1	Damon Galgut
73138967	 Management:  A Practical Introduction With Online Learning Center With Premium Content Card	1	Petina Gappah
73191752	 Global Business Today	1	Simon Garfield
73191817	 Theories of Personality	1	Alan Garner
73191833	 Social Psychology	1	William Gibson
73192635	 Fundamentals Of Selling:  Customers For Life Through Service	1	Martin Gilbert
73194174	 Life Span Development	1	Allen Ginsberg
73203130	 Strategy: Winning In The Marketplace	1	Malcolm Gladwell
73205346	 Engineering Economy	1	Nikolai Gogol
73211141	 Introduction To Operations Research	1	Glen David Gold
73214876	 Business Research Methods	1	William Golding
73215775	73215775	1	Nadine Gordimer
73219460	73219460	1	Gore Vidal
73220337	 Principles And Applications of Electrical Engineering	1	Günter Grass
73221074	73221074	1	Alasdair Gray
73224359	 Organizational Behavior	1	Simon Gray
73229784	" Calculus for Business, Economics, And the Social And Life Sciences With Mathzone"	1	John Green
73250325	 Data Communications and Networking	2	Graham Greene
73256439	 Fundamentals of Electric Circuits	2	Germaine Greer
73660094	 Electric Machinery	2	Philippa Gregory
73660558	 Experimental Methods for Engineers	2	John Grisham
125980558	 Introduction to Probability Models	2	David Grossman
125980574	 Introduction to Probablility and Statistics for Engineers and Scientists	2	Mark Haddon
130082058	 Accounting Information Systems	2	Tessa Hadley
130083690	 Statistics: The Art And Science of Learning from Data	2	Knut Hamsun
130084611	 Microeconomics	2	Mohammed Hanif
130085073	 Introduction to Mathematical Statistics	2	Elizabeth Hardwick
130085197	 Digital Image Processing Using Matlab	2	Thomas Hardy
130088471	 Management	2	Thomas Harris
130167630	 The Nature and Properties of Soils	2	Robert Harris
130175986	 Management of Organizational Behavior:  Leading Human Resources	2	Tony Harrison
130281271	 Statics and Mechanics of Materials	2	David Harsent
130307912	 Fundamentals of Engineering Economics	2	Josephine Hart
130313580	 Modern Operating Systems	2	Seamus Heaney
130332712	 Global Marketing Management	2	Helen Simpson
013034074X	 Computer Systems:  A Programmer's Perspective	2	Joseph Heller
130342815	 Discrete-Time Control Systems	2	Ernest Hemingway
130352802	 Contemporary Logistics	2	Aleksandar Hemon
130354716	 Inorganic Chemistry	2	James Herbert
130384712	 Corporate Computer and Network Security	2	Herta Müller
130404675	 Principles of Service Marketing and Management	2	Georgette Heyer
130408719	 Manufacturing Processes for Engineering Materials	2	Carl Hiaasen
130411507	" Strategic Brand Management:  Building, Measuring, and Managing Brand Equity"	2	Charlie Higson
013041977X	 Strategic Marketing for Nonprofit Organizations	2	Tobias Hill
130460192	 Network Security:  Private Communication in a Public World	2	Peter Hitchens
130461067	 Decision Support Systems and Intelligent Systems	2	Christopher Hitchens
130466417	 Statistics for Business and Economics	2	Shere Hite
130471100	" Object-Oriented Software Engineering:  Using Uml, Patterns and Java"	2	Eric Hobsbawm
130473944	 Elements of Chemical Reaction Engineering	2	Alan Hollinghurst
130489875	 Mechanical Vibrations	2	Holly Black
130606200	 Physics:  Principles and Applications	2	Richard Holmes
130608998	 Fluid Power With Applications	2	Homer
130609072	 Modern Control Engineering	2	Chloe Hooper
130618853	 Machine Elements in Mechanical Design	2	Nick Hornby
130652458	 Differential Equations and Boundary Valve Problems:  Computing and Modeling	2	Anthony Horowitz
130661899	 Econometric Analysis	2	Michel Houellebecq
013066491X	 Behavior in Organizations:  Understanding and Managing the Human Side of Work	2	Elizabeth Jane Howard
013081542X	 Biostatistical Analysis	2	Ted Hughes
130819085	 Bioprocess Engineering:  Basic Concepts	2	Shirley Hughes
130868175	 Along These Lines:  Writing Paragraphs and Essays	2	Siri Hustvedt
130882399	 Applied Hydrogeology	2	Aldous Huxley
130889784	" Automation, Production Systems, and Computer-Integrated Manufacturing"	2	Eva Ibbotson
130909963	 Digital Integrated Circuits:  A Design Perspective	2	Henrik Ibsen
130925535	 Applied Multivariate Statistical Analysis	2	Mick Imlah
130930857	" Basic Environmental Technology:  Water Supply, Waste Management, and Pollution Control"	2	John Irving
131013653	 College Algebra	2	Kazuo Ishiguro
013101367X	 Transport Processes and Separation Process Principles (Includes Unit Operations)	2	Jackie Morris
131073893	 Statistics for Managers Using Microsoft Excel	2	Howard Jacobson
131095978	 International Management:  Managing Across Borders And Cultures	2	Henry James
131096869	 Chemistry:  The Central Science	2	EL James
131108956	 Practical Research:  Planning and Design	2	PD James
131112023	 Finite Element Analysis:  Theory and Application With Ansys	2	Jay McInerney
131118927	 Introduction to Quantum Mechanics	2	Jo Nesbø
131131273	 Quality Control	2	Joanna Kavenna
131137646	" Occupational Safety and Health for Technologists, Engineers, and Managers"	2	John Cheever
131146246	 Invitation to Psychology	2	John Gray
131148656	 Earth: An Introduction to Physical Geology	2	Samuel Johnson
131150863	 Science Explorer:  From Bacteria To Plants	2	Sadie Jones
131176862	 Discrete Mathematics	2	Ben Jonson
131181114	 Abnormal Psychology:  The Problem of Maladaptive Behavior	2	James Joyce
131190768	 Literacy For The 21st Century:  Balanced Approach	2	Juan Gabriel Vásquez
131190873	 Educational Psychology:  Developing Learners	2	Tony Judt
131216333	 Mechatronics:  Electronic Control Systems in Mechanical and Electrical Engineering	2	Ismail Kadare
131402080	 Chemistry	2	Franz Kafka
131404121	 Kleppner's Advertising Procedure	2	Ryszard Kapu_ci_ski
131409417	 Biological Science	2	Kathryn Schulz
131409700	 Water Supply and Pollution Control	2	Jackie Kay
131424629	 System Dynamics	2	John Keats
131424718	 Traffic Engineering	2	James Kelman
131427067	 John E. Freund's Mathematical Statistics: With Applications	2	Stephen Kelman
131430211	 Financial Reporting And Analysis.	2	Ken Follett
131432613	" Calculus for Business, Economics, Life Sciences, and Social Sciences"	2	Thomas Keneally
131432753	 International Business_The Challenges of Globalization	2	AL Kennedy
131433512	 Computer Networks and Internets_With Internet Applications	2	Frank Kermode
131433725	 Using Mis	2	Jack Kerouac
131435825	 Macroeconomics_Theories And Policies	2	Marian Keyes
131437453	 Miller & Freund's Probability and Statistics for Engineers	2	Stephen King
131439944	 Management	2	Barbara Kingsolver
131440977	 Human Resource Management	2	Jeff Kinney
131442007	 Environmental Science_ Toward a Sustainable Future	2	Rudyard Kipling
131442341	 Principles of Macroeconomics	2	Kiran Desai
131443291	 Biology Of Microorganisms	2	Arthur Koestler
131444476	 Prealgebra	2	Milan Kundera
131445650	 Environmental Law	2	Hanif Kureishi
131445715	 Essentials of Organizational Behavior	2	Mark Kurlansky
131446797	 Discrete-Event System Simulation	2	Tony Kushner
131447165	 Human Resource Management	2	Jhumpa Lahiri
131449680	" Marketing_ Real People, Real Choices"	2	RD Laing
131450654	 Financial Management_ Principles and Applications	2	Philip Larkin
131450913	 Internet & World Wide Web_ How to Program	2	Stieg Larsson
131453068	 Principles of Biochemistry	2	DH Lawrence
131453343	 Linear Algebra With Applications	2	John le Carré
013145353X	 Strategic Management	2	Darian Leader
131454242	 Understanding and Managing Organizational Behavior	2	Harper Lee
131454439	 Managing Information Technology	2	Ursula K Le Guin
131454617	 Modern Systems Analysis and Design	2	Elmore Leonard
131454870	 Information Systems Today	2	Doris Lessing
131457330	 Modern Control Systems	2	Jonathan Lethem
131457578	 Marketing Management	2	Primo Levi
131463241	 Engineering Mechanics_Dynamics	2	Steven D Levitt and Stephen J Dubner
131464132	 Probability And Statistical Inference	2	Andrea Levy
131465600	 Advertising Principles And Practice	2	Deborah Levy
131465929	 Electric Circuits	2	CS Lewis
131469185	 Principles of Marketing	2	Penelope Lively
131469193	 Global Marketing	2	Liz Pichon
131469568	 Market-Based Management_ Strategies For Growing Customer Value And Profitability	2	Attica Locke
131469843	 Effective Small Business Management_ An Entrepreneurial Approach	2	John Locke
131470469	 Electrical Engineering_ Principles and Applications	2	David Lodge
131470892	 Structural Analysis	2	Michael Longley
131471988	" Financial Management For Public, Health And Not-For-Profit Organizations"	2	Louise O'Neill
131475916	 Accounting Information Systems	2	Robert Lowell
131477323	 Marketing Research With Spss 13.0 Student Version For Windows	2	Richard Mabey
131478451	 Business Communication Today	2	George MacDonald Fraser
131479547	 Operating Systems_ Internals and Design Principles	2	Madeline Miller
131479725	 Introduction to Financial Accounting	2	Maggie Gee
131481908	 Machine Design	2	Brooke Magnanti (Belle de Jour)
131483161	 Elementary Statistics_ Picturing The World	2	Maile Chapman
131483986	 Java_ How To Program	2	Andrei Makine
131485199	 E-marketing	2	Henning Mankell
131485210	 Structured Computer Organization	2	Thomas Mann
131486497	 Engineering Economy	2	Hilary Mantel
131487361	 Fundamentals of Management_Essential Concepts and Applications	2	Greil Marcus
131489658	" Manufacturing, Engineering and Technology"	2	Marcus Sedgwick
131491784	 Essentials Of Entrepreneurship And Small Business Management	2	Christopher Marlowe
131494597	 Strategic Management	2	Gabriel García Márquez
131494708	 Modern Management	2	Yann Martel
131494848	 Leadership In Organizations	2	George RR Martin
131495380	 Cost Accounting_ A Managerial Emphasis	2	Hisham Matar
131495798	 College Physics	2	Somerset Maugham
013149726X	 Solid State Electronic Devices	2	Armistead Maupin
131497456	 Laboratory In Physical Geology	2	Simon Mawer
131497499	 Essentials Of Geology	2	Patrick McCabe
131497510	 Earth Science	2	Alexander McCall Smith
131497553	 Statistics	2	Cormac McCarthy
131499084	" Options, Futures And Other Derivatives"	2	Frank McCourt
131499300	 Feedback Control Of Dynamic Systems	2	Val McDermid
131499459	 Financial Accounting	2	Ian McEwan
131534351	 Literature_ An Introduction To Reading And Writing	2	Roger McGough
131538411	 Management Information Systems_ Managing The Digital Firm	2	Candia McWilliam
131542745	 Strategic Management And Competitive Advantage_ Concepts And Cases	2	Herman Melville
131547143	 Business Statistics_ A First Course	2	Claire Messud
131548654	 Basic Marketing Research With Spss 13.0	2	Stephenie Meyer
013155445X	 Principles of Operations Management	2	China Miéville
131602586	 Human Resource Management	2	Arthur Miller
131672673	" Database Processing_ Fundamentals, Design, And Implementation"	2	AD Miller
131676865	 Managing Business Process Flows_ Principles Of Operations Management	2	Frank Miller
131678310	 Basic Business Statistics_ Concepts And Applications	2	John Milton
131679813	 Business Communication Essentials	2	Rohinton Mistry
131697390	 Operations Management	2	David Mitchell
013169944X	 Concepts Of Genetics	2	Adrian Mitchell
131699571	 Organic Chemistry	2	Nancy Mitford
131708694	 Exceptional Lives_ Special Education in Today's Schools	2	Rutu Modan
131730428	 Supply Chain Management	2	Michel de Montaigne
131733494	131733494	2	Alan Moore
131786865	 Social Psychology	2	Lisa Moore
131816292	 Topology	2	Lorrie Moore
131837362	 An Introduction to Human Factors Engineering	2	Caitlin Moran
013184069X	 History of Modern Art_ Painting Sculpture Architecture Photography	2	Edwin Morgan
131851225	 Advanced Accounting	2	Michael Morpurgo
131854615	 Electronic Commerce 2006_ A Managerial Perspective	2	Jan Morris
131854712	 Information Systems Management In Practice	2	Toni Morrison
131856057	 Foundations Of Finance_ The Logic And Practice Of Finance Management	2	Blake Morrison
131856405	 Prentice Hall Reference Guide	2	Walter Mosley
131856626	 A 'first Course In Probability	2	Kate Mosse
131857029	 Quantitative Analysis For Management	2	Andrew Motion
013185755X	" Operation Management / Jay Heizer, Barry Render"	2	Paul Muldoon
131857576	 C++ How To Program	2	Alice Munro
131857851	 Linear Algebra With Applications	2	Haruki Murakami
131860151	 Managerial Economics_ Economic Tools for Today's Decision Makers	2	Iris Murdoch
131860267	 Macroeconomics	2	Paul Murray
131862391	 Introduction To Cryptography_ With Coding Theory	2	Julie Myerson
131866222	" Integrated Advertising, Promotion, & Marketing Communications"	2	Vladimir Nabokov
131867121	 Auditing And Assurance Services_ An Integrated Approach With Coverage Of Sarbane-oxley And Section 404 Audi	2	Nadifa Mohamed
131867938	131867938	2	Daljit Nagra
131868772	 Strategic Compensation	2	VS Naipaul
131869426	 International Business_ Environments And Operations	2	Naomi Klein
131870165	 Retail Management_ A Strategic Approach	2	RK Narayan
131870769	 Excellence in Business Communication	2	Ned Beauman
131873644	 Finite Math And Its Application	2	Patrick Ness
131873741	131873741	2	David Nicholls
131878824	 Technology in Action Introductory	2	Nick Tosches
131888099	 Introduction to Management Science	2	Audrey Niffenegger
131891022	 Literature and the Writing Process	2	Edna O'Brien
131892622	 A World of Art	2	Sean O'Brien
013191345X	 Mechanics Of Materials	2	Eugene O'Neill
131918222	 The Prentice Hall Guide For College Writers	2	Joyce Carol Oates
131918338	 Concepts Of Genetics	2	Téa Obreht
131919636	 Calculus And Its Applications	2	Flann O'Brien
131922440	 Society_ The Basics	2	Ben Okri
131925385	 Development Across The Life Span	2	Sharon Olds
131930079	 Business Ethics_ Concepts & Cases	2	Michael Ondaatje
131930818	 Prebels' Artforms_ An Introduction To The Visual Arts	2	George Orwell
131931989	" The World Is A Text_ Writing, Reading, and Thinking About Culture and Its Contexts"	2	Ruth Ozeki
131931997	 Understanding Psychology_ Book And Study Guide	2	Ruth Padel
131933159	 Living Religions	2	Chuck Palahniuk
131950851	 Corrections in America	2	Orhan Pamuk
131963163	 Organic Chemistry	2	Boris Pasternak
132184745	 Sociology	2	Paul Farley
132186942	 Consumer Behavior	2	Michelle Paver
132187469	 Biological Science	2	David Peace
132192268	 Brock Biology Of Microorganisms And Student Companion Website Access Card	2	Basharat Peer
132203847	 Statistics for Business And Economics	2	Mal Peet
132277816	 Essentials of Management Informaton Systems	2	Harvey Pekar
132431564	 Organizational Behavior	2	Penelope Fitzgerald
133214311	 Advanced Engineering Mathematics	2	Samuel Pepys
135265266	 Statistical Methods for the Social Sciences	2	Percy Bysshe Shelley
135763800	 Geotechnical Engineering_ Principles and Practices	2	Philip Hensher
013651068X	 Theory of Vibrations With Applications	2	Piers Paul Read
013726142X	 Finite Element Analysis_ Theory and Application with ANSYS	2	Piers Torday
137549202	 Discrete-Time Signal Processing	2	Harold Pinter
137903952	 Artificial Intelligence_ A Modern Approach	2	Annabel Pitcher
013805326X	 Introduction to Electrodynamics	2	Sylvia Plath
138147574	 Signals & Systems	2	Plato
139078746	 Fundamentals of Complex Analysis_ With Applications to Engineering and Science	2	Edgar Allan Poe
195073401	 Microeconomic Theory	2	Peter Porter
195108094	 Investment Science	2	Terry Pratchett
195110099	 Modern Digital and Analog Communications Systems	2	Marcel Proust
195116445	 Cmos Analog Circuit Design	2	Philip Pullman
195136055	 The Science and Engineering of Microelectronic Fabrication	2	Thomas Pynchon
195142519	 Microelectronic Circuits	2	Jonathan Raban
195158334	 Linear Systems and Signals	2	Rachel Cusk
201128195	 Field and Wave Electromagnetics	2	Ross Raisin
201146592	 Mechanics and Thermodynamics of Propulsion	2	Ian Rankin
201180758	 Digital Image Processing	2	Arthur Ransome
201543931	 Semiconductor Device Fundamentals	2	Redmond O'Hanlon
201763907	 A First Course in Abstract Algebra	2	David Remnick
201770253	 Law and Economics	2	Ruth Rendell
201771314	 Elementary Statistics	2	Reza Aslan
205376061	 An Introduction to Group Work Practice	2	Anne Rice
205426514	 Biopsychology	2	Richard Flanagan
205439675	 Lifespan Development	2	Richard Ford
020544444X	 Essentials of Sociology_ A Down-To-Earth Approach	2	Gwendoline Riley
205449131	 Child Development	2	Robert Graves
205449441	 Public Relations_ Strategies and Tactics	2	Marilynne Robinson
205457959	 Mastering The World Of Psychology	2	Rose Tremain
205459382	 Multivariate Statistics	2	Michael Rosen
205473059	 Sociology_ A Down to Earth Approach	2	Meg Rosoff
205477534	 The Media Of Mass Communication	2	Alex Ross
205478093	 Family Therapy_ Concepts And Methods	2	Philip Roth
205483925	 Elementary And Middle School Mathematics_ Teaching Developmentally	2	Rainbow Rowell
256136874	 Strategic Logistics Management	2	JK Rowling
256247951	 Factory Physics_ Foundations of Manufacturing Management	2	Roxane Gay
262032937	 Introduction to Algorithms	2	Arundhati Roy
312406843	 A Pocket Style Manual	2	Katherine Rundell
312406851	 Rules for Writers	2	Salman Rushdie
312407246	 Everything's An Argument With Readings	2	Russell Hoban
312412622	 Writers Reference	2	Joe Sacco
312419333	 The Bedford Handbook	2	Jonathan Safran Foer
312434456	 Compact Bedford Introduction to Literature	2	Saki (Hector Hugh Munro)
321149017	 Cmos Vlsi Design_ A Circuits and Systems Perspective	2	JD Salinger
321159349	 College Algebra	2	Michael Sandel
321162080	" Exploring Literature_ Writing and Thinking About Fiction, Poetry, Drama, and the Essay"	2	José Saramago
321166396	 Calculus and Its Applications	2	Jean-Paul Sartre
321185587	 Thomas' Calculus	2	Siegfried Sassoon
032119800X	 Thomas' Calculus_ Early Transcendentals	2	George Saunders
321227352	 Computer Networking_ A Top-Down Approach Featuring the Internet	2	Dorothy L Sayers
